file	dp_u	dp_v	dp_e	dp_E	dp_L_n	p_pre_mag	KE_pre	KE_post	L_pre	L_post	omega_pre_mean	omega_post_mean	omega1_pre	omega2_pre	omega1_post	omega2_post	v1_pre_u	v1_pre_v	v2_pre_u	v2_pre_v	v1_post_u	v1_post_v	v2_post_u	v2_post_v
B2(1).tsv	-0.2798397	-0.2057892	-0.007281365	-0.001423596	-15.59038	11.14642	0.004346415	0.002922819	272.6642	257.0738	5.977305	8.26926	6.520758	5.433852	6.285306	10.25321	-281.971	685.258	-15.2414	-7.45351	-162.3628	610.0801	-120.6273	65.98896
B2(2).tsv	0.01906766	-0.09035091	-0.002988877	-0.0006097858	-9.520445	6.577424	0.001511803	0.0009020172	89.85988	80.33944	3.757817	3.175274	3.798315	3.717318	3.567521	2.783027	-262.0351	348.0935	-6.430986	-3.556375	-101.3974	253.5902	-172.8474	91.01974
B2(3).tsv	-0.1332854	-0.01933831	-0.1342466	-0.000907888	7.748261	5.352006	0.001456026	0.0005481382	-76.71327	-68.96501	-2.72086	-1.984173	-6.449492	1.007771	-2.516147	-1.452199	-2.768493	-61.37702	-179.872	382.8336	-30.26825	163.3474	-140.2552	148.9988
B2(4).tsv	0.01047663	-0.0424815	-0.006957967	-0.0005632052	-3.600645	6.257266	0.001500832	0.0009376264	153.6607	150.0601	2.916003	4.195172	0.3983426	5.433663	3.874537	4.515807	-63.07963	428.5321	13.90029	-16.59868	44.59754	309.2506	-95.83711	107.6323
B2(5).tsv	0.048515	-0.04319051	0.001522423	-0.001862129	-15.22505	9.786483	0.00370879	0.001846662	134.7819	119.5568	5.932871	4.145394	6.238309	5.627432	3.456656	4.834132	-50.85091	679.4627	3.536014	-32.49089	76.73148	385.4059	-128.2799	271.1549
B2(6).tsv	0.08085692	-0.1041345	-0.001175075	-0.001116662	-11.60499	9.887939	0.003159106	0.002042444	172.6335	161.0285	3.173805	5.191321	2.368198	3.979413	5.397128	4.985515	-140.9584	625.4408	-10.19538	14.05439	1.326082	447.1994	-160.2404	196.0002
B2(7).tsv	-0.08469892	-0.1497506	-0.02304987	-0.0005262894	-30.80521	7.406397	0.001955193	0.001428903	228.947	198.1417	3.187955	7.057819	1.321788	5.054121	3.781177	10.33446	-68.22674	494.4075	-11.09544	-9.321683	-56.62007	452.9067	-17.98286	30.91013
B2(8).tsv	-0.2435027	-0.2611666	0.0007741996	-0.0004451875	12.80241	10.27599	0.003850933	0.003405746	349.2547	362.0571	4.696428	10.08447	3.829122	5.563735	10.62977	9.539167	-38.18684	701.1466	22.68822	-19.68951	-175.6602	667.2269	175.7754	9.247113
B2(9).tsv	0.009359866	-0.1720423	-0.03815968	-0.0008356615	-19.00608	9.305019	0.002934645	0.002098984	219.179	200.173	3.789776	6.304997	3.008834	4.570719	6.48553	6.124465	-402.5018	464.7943	-13.173	-7.517814	-252.798	414.6681	-170.3488	39.28129
B2(10).tsv	-0.02218116	-0.1473165	-0.03181816	-0.00048663	0.3875839	11.13634	0.004782303	0.004295673	397.8007	398.1883	7.447365	11.46962	6.743226	8.151504	11.56979	11.36945	-245.2807	728.3593	32.03397	-21.40295	-401.5031	667.6865	184.8834	42.48756
