file	dp_u_kgm_s	dp_v_kgm_s	dp_e_kgm_s	dp_E_J	dp_L_n_kgm2_s	p_pre_mag	KE_pre_tot_J	KE_post_tot_J	L_pre_n_kgm2_s	L_post_n_kgm2_s	omega_pre_mean_rad_s	omega_post_mean_rad_s	omega1_pre_rad_s	omega2_pre_rad_s	omega1_post_rad_s	omega2_post_rad_s	v1_pre_u	v1_pre_v	v2_pre_u	v2_pre_v	v1_post_u	v1_post_v	v2_post_u	v2_post_v
B3(1).tsv	-0.0506144	-0.1099736	0.004695883	-0.0004912907	-6.257296	8.402768	0.002475902	0.001984611	169.0919	162.8346	2.960241	5.826956	2.902699	3.017783	5.485284	6.168628	11.37505	-64.80314	571.0813	80.10973	261.1581	202.083	308.0787	-204.7798
B3(2).tsv	0.03309322	-0.04955268	0.01231269	-0.0001610866	-3.995279	4.811307	0.0007147733	0.0005536867	-59.31007	-63.30535	1.296188	-2.326376	0.8339381	1.758438	-2.865221	-1.787531	92.74038	-25.19945	-11.67952	-296.7773	-46.09258	-188.2051	134.8453	-123.9982
B3(3).tsv	-0.1090593	0.0008321062	-0.0009377705	-0.0001640893	0.3438287	4.904637	0.0007846356	0.0006205463	-71.60061	-71.25678	1.576064	-1.962672	-0.4433238	3.595453	-5.559302	1.633959	28.30998	57.20427	-233.5352	212.9154	-46.99703	211.7444	-147.7333	52.42733
B3(4).tsv	-0.01205809	-0.04259339	-0.01183576	-5.267843e-05	1.206986	5.115265	0.000689569	0.0006368906	-96.35193	-95.14495	-1.648654	-1.824528	-4.295245	0.9979369	-5.27239	1.623335	130.8946	5.393286	126.2739	233.6298	214.5193	105.3935	38.56268	126.7876
B3(5).tsv	-0.07489371	-0.0009422215	-0.02057131	-0.0006194287	-1.462439	14.75484	0.004994533	0.004375104	162.658	161.1956	-0.7740872	5.420251	0.733534	-2.281708	6.852896	3.987607	17.93791	239.1596	-297.5065	736.72	-309.0028	429.0225	47.33699	539.4133
B3(6).tsv	-0.05637589	-0.05552226	-0.04390799	-0.0009974358	-14.09021	9.730481	0.004165872	0.003168436	258.2638	244.1736	12.2369	5.539815	4.659484	19.81432	-1.279751	12.35938	-18.77326	13.55987	-345.6533	553.8608	-410.4985	126.0438	65.2074	433.1526
B3(7).tsv	-0.1851796	-0.2922369	0.0006669444	-0.001068377	-30.78518	12.25391	0.004451001	0.003382624	215.4615	184.6763	5.387626	0.8928261	-2.231272	13.00652	-7.515376	9.301029	-184.7078	-10.02868	-466.3212	548.783	-451.7264	394.7364	-176.075	108.0078
B3(8).tsv	0.02227727	-0.04156269	0.009793926	-0.0001298403	-6.059064	1.684007	0.000386823	0.0002569826	98.8484	92.78933	5.460735	2.366669	2.686142	8.235328	-0.1971841	4.930522	-37.44676	24.43345	154.9735	-11.82341	79.79349	99.73326	34.72306	-92.93381
B3(9).tsv	0.03066521	0.0653012	-0.02231261	-0.0002400191	2.415599	7.544447	0.001942754	0.001702735	193.9286	196.3442	2.35388	5.563712	4.149279	0.5584805	6.457924	4.6695	113.7202	490.0036	10.84524	-1.640476	253.2052	254.6137	-131.9323	247.4287
B3(10).tsv	-0.1107245	-0.05238633	-0.0471017	-0.0005723753	-2.550846	4.146983	0.001354753	0.000782378	50.89617	48.34532	4.087339	0.7442501	-1.186541	9.36122	-3.799788	5.288288	83.21149	-42.76427	-367.0067	108.3804	-294.2803	22.80979	32.83894	36.62262
